SubjectID,Condition,DigitScore,ObjectScore
1,0,59,52
2,0,54,56
3,1,62,69
4,0,63,53
5,0,67,48
6,0,54,42
7,0,54,50
8,1,72,68
9,1,63,58
10,0,69,57
11,0,61,61
12,1,57,67
13,0,78,63
14,0,59,47
15,0,65,56
16,1,61,64
17,1,53,70
18,0,56,52
19,0,58,60
20,0,61,52
21,0,69,58
22,0,72,67
23,0,65,70
24,0,68,58
25,1,66,72
26,1,56,66
27,0,63,56
28,0,64,56
29,0,59,60
30,1,58,60
31,0,63,58
32,0,67,63
33,0,70,68
34,0,78,63
35,1,66,59
36,1,60,70
37,1,72,75
38,0,57,50
39,0,69,61
40,0,57,49
41,0,69,57
42,0,54,45
43,1,47,58
44,1,63,70
45,1,78,87
46,1,50,54
47,0,58,59
48,0,78,72
49,1,71,88
50,0,64,57
51,0,60,59
52,1,67,71
53,1,71,71
54,1,73,80
55,1,59,68
56,1,60,66
57,1,63,74
58,0,57,63
59,1,60,69
60,1,57,55
61,0,60,54
62,1,70,84
63,1,63,65
64,0,58,46
65,0,57,53
66,1,71,76
67,1,59,52
68,1,65,70
69,0,67,66
70,1,53,61
71,1,79,85
72,1,71,69
73,1,59,65
74,0,56,54
75,1,55,68
76,0,59,64
77,1,69,79
78,0,55,54
79,1,67,67
80,0,65,64
81,0,54,51
82,0,73,68
83,0,50,61
84,0,60,43
85,1,69,75
86,1,72,71
87,1,72,78
88,1,66,69
89,0,63,57
90,0,59,61
91,0,61,54
92,0,69,58
93,1,63,67
94,1,57,61
95,1,66,71
96,1,68,72
97,1,52,51
98,0,62,56
99,1,65,70
